Hawaiian	ʻAʻole kēlā ʻo ka hale oke keiki.	That is not the boy's house
Hawaiian	He leo wahine kona.	He/she has a feminine voice.
Hawaiian	Aia he kula i Kula.	There is a school in Kula.
Hawaiian	Ua ʻike au iā lāua i ke kula.	I saw the two of them at school.
Hawaiian	He mau moʻopuna lāua nāu?	Are they grandchildren of yours?
Hawaiian	Noʻonoʻo iho i ka panina.	Think about the answer.
Hawaiian	He hapa haole a he hapa Hawaiʻi au.	I am half non-Hawaiian and half Hawaiian.
Hawaiian	Hele a uka.	Go as far as the uplands.
Hawaiian	A aia nō a mākaukau kēia mau mea, a holo nōka waʻa.	Only when these things are ready will the canoego.
Hawaiian	Ua kui au nā lei a pau, koe naʻe kēnā lei maile.	I threaded all the leis, except for that maile lei
