Which is a common dish eaten in early spring in Mvskoke culture? 	Sokhv-hotopke	Tafvmpuce	Cvtvhakv	Vce-akkaske
What is a popular sport in Mvskoke culture?	Basketball	Archery	Horseball	Stickball
What is a stick ball made out of, in Mvskoke culture?	Deer skin	Badger Hide	Squirrel skin	Raccoon skin
What is a traditional burial method in Mvskoke culture?	Sky burial	Burial house	Canoe burial	Cremation
How did clans get their names in Mvskoke culture?	From the first animal that they saw emerging from the wind	From the animals that lived in their village	From the settlers	From the chief
Which animal usually represents the "trickster" in stories in Mvskoke culture?	Rabbit	Fox	Deer	Wolf
What festival is celebrated in July in Mvskoke culture?	Sundance	Summer	Green Corn	Sweet Potato
Which of these breads is not a traditional bread in Mvskoke culture?	Cornbread	Frybread	Blue bread	Buried bread
What dance is normally performed at ceremonial grounds in Mvskoke culture?	Smoke dance	Fire dance	Grass dance	Stomp dance
Which is an item in traditional Mvskoke clothing?	Headdress	Jingle dress	Cowboy hat	Shell shakers
What is a popular and traditional dish in Choctaw culture?	Pashofa	Acorns	Akutaq	Halibut
What is a popular sport in Choctaw culture?	Surfing	Dog sledding	Stickball	Soccer
What are baskets typically made of in Choctaw culture?	White ash	River reed	Red pine	Seaweed
Who was a Choctaw chief?	Mosholetvbbi	Tecumseh	Sitting Bull	Sequoyah
Which of these is not part of traditional Choctaw regalia?	Apron	Beaded collar	Moccasins	War bonnet
What is the name of a traditional Choctaw dance?	Hummingbird dance	War dance	Sixtown dance	Squirrel dance
In what month do California Choctaw hold their annual gathering?	April	March	December	February
What is the name of the place that is considered the birthplace of the Choctaw?	Tvshkahoma	Durant	Nvnih Waiya	Okla tvnnvp
What do Choctaw people do when there is an eclipse?	Stay inside with the windows closed	Yell at the sun	Pray 	Dance
What is the traditional story about eclipses?	Black deer steals the sun	White raccoon throws the moon	Turtle swims in the sky	Black squirrel steals the sun
